src,dest,rssi,etx,delay,busy_fraction,label
13239,41870,-64.61,2.706,21.91,0.1938,1
90428,85786,-54.08,3.363,93.99,0.3564,0
91067,42601,-57.57,1.424,6.04,0.2603,1
11955,78782,-70.23,3.709,77.67,0.8805,0
80101,46807,-70.82,5.044,29.3,0.957,0
21748,44143,-68.1,1.407,24.64,0.3395,1
93462,82614,-57.09,1.704,3.23,0.2804,1
43748,34552,-57.0,1.272,6.2,0.3563,1
50267,33413,-56.08,1.198,8.99,0.1789,1
50308,59531,-56.78,1.993,6.53,0.3653,1
74674,11412,-69.62,5.543,28.45,0.7405,0
5273,78789,-62.38,1.182,14.43,0.2737,1
85597,1425,-55.05,3.227,6.94,0.3854,1
31488,39741,-49.38,1.331,10.98,0.1109,1
82517,52631,-54.39,1.222,14.52,0.3056,1
20981,24265,-69.22,1.581,103.36,0.8648,0
6793,33470,-83.12,14.15,102.58,0.6476,0
65650,87437,-46.9,1.398,4.56,0.2418,1
35220,15847,-52.59,1.028,7.11,0.507,1
45439,32714,-71.02,5.779,33.18,0.8154,0
22975,60784,-70.39,6.231,72.81,0.7847,0
83932,10786,-42.07,1.088,5.73,0.3132,1
76067,97176,-58.21,1.913,7.13,0.0958,1
69180,12968,-88.42,11.248,45.48,0.5336,0
99183,53162,-52.82,1.133,12.79,0.3782,1
68387,18312,-62.61,1.282,5.74,0.0451,1
81651,90834,-69.01,4.53,59.4,0.7657,0
89826,17103,-56.23,2.129,19.76,0.2595,1
59678,72753,-63.93,1.24,3.73,0.3128,1
27045,52248,-55.42,1.01,8.61,0.1028,1
88621,62394,-82.1,14.281,31.05,0.6816,0
17479,49864,-69.36,1.674,24.86,0.7317,0
23083,51931,-76.16,5.294,46.93,0.8409,0
98611,76500,-50.55,1.887,10.78,0.2611,1
95799,19969,-76.61,5.627,34.52,0.9061,0
31444,99688,-86.38,8.627,60.84,0.6221,0
33910,72472,-92.93,6.824,22.71,0.7172,0
49651,99304,-45.83,3.908,8.95,0.1557,1
36479,84983,-62.52,4.174,12.41,0.3355,1
46543,91437,-86.99,4.44,48.41,0.5505,0
9676,51108,-54.58,2.041,6.06,0.0823,1
9544,91452,-83.95,5.854,14.63,0.6827,0
93788,1317,-55.97,2.761,64.86,0.3771,0
49101,16524,-42.75,1.297,42.95,0.4445,1
22217,65536,-46.15,2.905,12.21,0.4226,1
37795,47655,-67.37,2.188,27.77,0.5001,0
64259,71930,-95.0,3.847,150.0,0.6785,0
34803,28590,-77.68,7.079,150.0,0.7929,0
70980,16059,-71.23,5.052,18.98,0.6691,0
8395,56964,-48.86,1.796,11.47,0.6425,1
77993,18816,-59.02,1.411,18.88,0.5013,1
91852,55749,-53.24,1.397,8.5,0.31,1
44486,54945,-84.63,14.07,72.51,0.7101,0
34396,7427,-57.54,2.108,7.22,0.1929,1
2776,52768,-47.34,2.423,7.32,0.1204,1
12970,37266,-65.37,1.66,7.09,0.4946,1
43590,15404,-54.92,2.841,26.67,0.2784,1
4585,75941,-61.02,3.476,66.48,0.9758,0
39756,83644,-61.76,4.739,133.76,0.8104,0
14786,40821,-75.7,8.431,14.67,0.414,0
43512,18165,-95.0,10.89,78.68,0.9208,0
23446,80993,-50.9,2.12,17.62,0.1648,1
49637,97605,-52.28,1.726,6.83,0.2612,1
7423,35483,-56.62,1.386,13.96,0.2602,1
71471,61592,-65.22,1.093,5.62,0.4462,1
12154,56460,-45.79,1.218,38.74,0.6481,1
64624,14037,-76.03,5.097,39.92,0.8024,0
87545,73447,-61.16,4.43,59.91,0.593,0
25700,97619,-76.83,5.776,34.17,0.4714,0
65867,72210,-78.78,5.463,36.51,0.6222,0
