rssi,etx,delay,busy_fraction,label
-44.97,1.299,8.17,0.4159,1
-80.4,3.144,7.43,0.1573,1
-53.14,3.519,4.46,0.1936,1
-64.18,2.172,14.9,0.6613,1
-46.3,1.067,13.18,0.0457,1
-47.28,2.475,11.99,0.2763,1
-47.47,2.388,3.64,0.3064,1
-64.9,1.533,17.1,0.4784,1
-70.03,3.631,16.53,0.237,1
-39.19,1.393,10.95,0.2679,1
-81.28,9.926,20.73,0.9015,0
-82.98,8.016,68.64,0.6386,0
-58.85,3.844,14.1,0.0549,1
-50.61,1.0,10.19,0.1667,1
-68.21,1.738,10.98,0.5829,0
-78.49,15.0,49.5,0.6361,0
-88.35,3.912,32.07,0.7934,0
-88.29,3.99,150.0,0.8383,0
-67.57,2.998,39.08,0.6413,0
-70.37,5.736,150.0,0.6797,0
-51.18,1.083,7.35,0.5294,1
-54.79,2.447,13.97,0.2225,1
-76.43,13.529,150.0,0.885,0
-76.19,2.962,31.9,0.7989,0
-50.62,2.088,18.42,0.2701,1
-68.51,4.749,35.24,0.6078,0
-58.88,1.986,8.09,0.7034,1
-72.89,4.485,67.87,0.8437,0
-51.09,1.422,8.26,0.1575,1
-84.05,10.409,112.08,0.6782,0
-58.12,1.545,5.43,0.3686,1
-67.2,1.38,10.62,0.3075,1
-63.54,1.268,16.58,0.4509,1
-67.31,2.581,8.77,0.0577,1
-77.81,9.374,39.51,0.9027,0
-56.3,1.873,10.97,0.3454,1
-80.01,4.925,150.0,0.7539,0
-80.01,6.609,67.09,0.7009,0
-77.34,6.017,35.15,0.4628,0
-77.16,5.375,69.28,0.58,0
-75.16,7.003,98.89,0.6423,0
-70.55,5.324,29.73,0.4705,0
-64.84,2.963,150.0,0.69,0
-62.97,1.705,4.51,0.2858,1
-50.82,1.75,7.93,0.368,1
-68.4,6.452,83.46,0.8193,0
-60.08,5.543,13.72,0.3737,1
-67.29,5.753,19.15,0.5444,0
-80.62,4.863,58.98,0.7836,0
-69.93,4.62,40.96,0.7006,0
