efsr_edge,label
0.873631,1
0.925021,1
0.343905,0
0.432068,0
0.90577,1
0.921143,1
0.918002,1
0.327373,0
0.932136,1
0.30972,0
0.362365,0
0.362906,0
0.354379,0
0.325634,0
0.38314,0
0.348382,0
0.371462,0
0.895729,1
0.275594,0
0.383033,0
0.892253,1
0.953517,1
0.356637,0
0.466446,0
0.391063,0
0.333668,0
0.880784,1
0.472663,0
0.376161,0
0.956737,1
0.929255,1
0.932599,1
0.431436,0
0.362067,0
0.941159,1
0.396787,0
0.836495,1
0.364079,0
0.895422,1
0.908812,1
0.926258,1
0.378913,0
0.927009,1
0.935305,1
0.920924,1
0.910664,1
0.923199,1
0.904461,1
0.84947,1
0.352797,0
