class,confidence
1,0.9935416
1,0.7954741
1,0.98721814
1,0.55752146
1,0.9987356
1,0.991288
1,0.99208814
1,0.93564236
1,0.83986497
1,0.9974316
0,0.9999993
0,0.99999523
1,0.98020476
1,0.99739635
1,0.713559
0,1.0
0,0.9999225
0,0.99999976
0,0.93465227
0,0.9999951
1,0.9858872
1,0.9889424
0,1.0
0,0.998059
1,0.9903267
0,0.9883807
1,0.76122147
0,0.99988604
1,0.99683785
0,1.0
1,0.9866937
1,0.9795766
1,0.9657856
1,0.9859607
0,0.99999905
1,0.9854998
0,0.99999917
0,0.99998224
0,0.99720436
0,0.9996892
0,0.99998665
0,0.9731311
0,0.99986374
1,0.9867308
1,0.99017406
0,0.99997187
1,0.5639416
0,0.9733329
0,0.999951
0,0.9972254
